skeleton-id,node-id-src,node-id-dst,branch-distance,branch-type,mean-pixel-value,stdev-pixel-value,image-coord-src-0,image-coord-src-1,image-coord-dst-0,image-coord-dst-1,coord-src-0,coord-src-1,coord-dst-0,coord-dst-1,euclidean-distance
0,0,88,90.48528137423857,0,1.0,0.0,14,2469,102,2471,14,2469,102,2471,88.02272433866155
1,89,2783,554.3969696196704,0,1.0,0.0,458,915,995,895,458,915,995,895,537.3723104142974
2,92,2448,468.8111831820434,0,1.0,0.0,460,1973,911,1986,460,1973,911,1986,451.1873225169342
3,115,252,37.242640687119284,1,1.0,0.0,471,2466,507,2463,471,2466,507,2463,36.124783736376884
4,201,1007,135.2132034355964,1,1.0,0.0,500,1457,629,1446,500,1457,629,1446,129.46814279968643
3,219,252,17.242640687119284,1,1.0,0.0,504,2447,507,2463,504,2447,507,2463,16.278820596099706
5,221,300,20.142135623730955,1,1.0,0.0,505,409,517,423,505,409,517,423,18.439088914585774
3,252,652,59.142135623730944,2,1.0,0.0,507,2463,561,2472,507,2463,561,2472,54.74486277268398
5,300,598,94.32590180780443,1,1.0,0.0,517,423,556,500,517,423,556,500,86.31338250816034
5,300,896,96.72792206135783,2,1.0,0.0,517,423,610,428,517,423,610,428,93.13431161500041
3,457,652,53.142135623730944,1,1.0,0.0,536,2506,561,2472,536,2506,561,2472,42.20189569201838
3,652,3096,578.6639969244295,1,1.0,0.0,561,2472,1095,2467,561,2472,1095,2467,534.0234077266651
5,896,925,15.242640687119287,1,1.0,0.0,610,428,613,442,610,428,613,442,14.317821063276353
5,896,2959,470.2375900532365,1,1.0,0.0,610,428,1050,443,610,428,1050,443,440.25560757360034
4,1007,3150,556.7472580451151,1,1.0,0.0,629,1446,1122,1414,629,1446,1122,1414,494.0374479733292
4,1007,1132,28.384776310850242,1,1.0,0.0,629,1446,648,1463,629,1446,648,1463,25.495097567963924
6,2918,3178,111.24264068711929,0,1.0,0.0,1040,37,1150,36,1040,37,1150,36,110.00454536063498
7,3179,3300,128.04163056034258,0,1.0,0.0,1295,2488,1416,2477,1295,2488,1416,2477,121.49897118905987
8,3301,3308,8.65685424949238,0,1.0,0.0,1472,467,1477,473,1472,467,1477,473,7.810249675906654
9,3309,3335,28.313708498984766,1,1.0,0.0,1638,219,1663,213,1638,219,1663,213,25.709920264364882
9,3335,3346,11.071067811865476,1,1.0,0.0,1663,213,1668,204,1663,213,1668,204,10.295630140987
9,3335,3370,29.48528137423857,2,1.0,0.0,1663,213,1688,221,1663,213,1688,221,26.248809496813376
9,3370,3372,1.0,2,1.0,0.0,1688,221,1689,221,1688,221,1689,221,1.0
9,3370,3372,2.414213562373095,2,1.0,0.0,1688,221,1689,221,1688,221,1689,221,1.0
9,3372,3392,20.414213562373096,1,1.0,0.0,1689,221,1708,219,1689,221,1708,219,19.1049731745428
10,3393,3444,51.071067811865476,1,1.0,0.0,1718,225,1767,222,1718,225,1767,222,49.09175083453431
10,3444,3445,15.414213562373096,1,1.0,0.0,1767,222,1768,207,1767,222,1768,207,15.033296378372908
10,3444,3478,21.82842712474619,1,1.0,0.0,1767,222,1788,224,1767,222,1788,224,21.095023109728988
11,3479,3566,77.21320343559641,0,1.0,0.0,2444,1151,2515,1166,2444,1151,2515,1166,72.56721022610694
12,3535,3570,18.414213562373096,1,1.0,0.0,2500,669,2518,668,2500,669,2518,668,18.027756377319946
12,3569,3570,2.414213562373095,1,1.0,0.0,2517,670,2518,668,2517,670,2518,668,2.23606797749979
12,3570,3846,83.21320343559641,2,1.0,0.0,2518,668,2595,653,2518,668,2595,653,78.44743462982075
13,3615,3965,60.04163056034258,1,1.0,0.0,2561,713,2611,731,2561,713,2611,731,53.14132102234569
14,3616,4161,156.37972567696687,0,1.0,0.0,2562,79,2678,168,2562,79,2678,168,146.2087548678259
15,3628,4096,110.68124086713178,0,1.0,0.0,2565,2759,2649,2696,2565,2759,2649,2696,105.0
16,3640,3736,15.899494936611667,1,1.0,0.0,2568,974,2581,967,2568,974,2581,967,14.7648230602334
17,3656,4056,66.0416305603426,0,1.0,0.0,2571,1093,2630,1084,2571,1093,2630,1084,59.682493245507096
18,3685,3995,42.72792206135785,0,1.0,0.0,2576,860,2615,851,2576,860,2615,851,40.024992192379
16,3736,3761,21.242640687119287,1,1.0,0.0,2581,967,2584,947,2581,967,2584,947,20.223748416156685
16,3736,4037,44.24264068711928,1,1.0,0.0,2581,967,2624,966,2581,967,2624,966,43.01162633521314
12,3846,3920,21.485281374238575,1,1.0,0.0,2595,653,2604,637,2595,653,2604,637,18.35755975068582
12,3846,3889,12.899494936611667,1,1.0,0.0,2595,653,2600,663,2595,653,2600,663,11.180339887498949
13,3965,3968,5.82842712474619,1,1.0,0.0,2611,731,2611,736,2611,731,2611,736,5.0
13,3965,4020,9.414213562373096,1,1.0,0.0,2611,731,2620,730,2611,731,2620,730,9.055385138137417
19,4102,4243,84.79898987322332,0,1.0,0.0,2653,849,2727,864,2653,849,2727,864,75.50496672405067
20,4180,4259,51.55634918610404,0,1.0,0.0,2695,938,2742,929,2695,938,2742,929,47.853944456021594
0,0,596,256.66904755831234,0,1.0,0.0,476,1405,719,1434,476,1405,719,1434,244.72433471152803
1,5,145,68.38477631085021,1,1.0,0.0,481,448,542,459,481,448,542,459,61.98386886924694
1,123,145,17.656854249492383,1,1.0,0.0,538,475,542,459,538,475,542,459,16.492422502470642
1,145,323,72.07106781186548,2,1.0,0.0,542,459,612,454,542,459,612,454,70.178344238091
2,212,417,68.7989898732233,0,1.0,0.0,575,572,638,566,575,572,638,566,63.28506932918696
1,323,341,16.82842712474619,1,1.0,0.0,612,454,614,438,612,454,614,438,16.1245154965971
1,323,492,69.69848480983498,2,1.0,0.0,612,454,668,480,612,454,668,480,61.741396161732524
1,481,492,13.071067811865477,1,1.0,0.0,665,491,668,480,665,491,668,480,11.40175425099138
1,492,661,115.45584412271569,2,1.0,0.0,668,480,776,488,668,480,776,488,108.29589096544707
1,661,670,16.656854249492383,1,1.0,0.0,776,488,780,473,776,488,780,473,15.524174696260024
